İlçe,Uygun,İyi,Orta,Kötü,Çok Kötü
Arnavutköy,22,102,20,0,0
Avcılar,28,42,51,20,0
Bağcılar,18,49,48,28,1
Başakşehir,3,30,37,36,3
Beşiktaş,23,61,46,14,0
Beylikdüzü,6,71,44,14,3
Esenler,12,52,37,35,5
Esenyurt,4,18,39,37,12
Fatih,0,31,37,67,8
Eyüpsultan,5,84,39,16,0
Adalar,57,60,26,1,0
Kadıköy,21,41,46,28,8
Kağıthane,2,45,38,37,22
Üsküdar,33,58,38,13,1
Kartal,23,52,48,21,0
Sarıyer,61,70,13,0,0
Şişli,0,15,39,52,4
Sancaktepe,20,38,38,32,6
Sultanbeyli,15,41,28,25,1
Sultangazi,88,30,9,15,1
Şile,9,86,14,1,0
Bahçelievler,4,35,39,31,0
Tuzla,11,25,33,61,14
Ümraniye,30,54,38,17,0
