Yurt Adı,Kapasite,İlçe Adı,fiyat
ATATÜRK ÖĞRENCİ YURDU,3555,Zeytinburnu,38.75
AKKADİN H. M. TARMAN KIZ YURDU,1082,Kadıköy,18.09
ANADOLU HİSARI YURDU,374,Beykoz,2.22
AVCILAR-ATATÜRK KIZ YURDU,348,Avcılar,2.24
ÇEMBERLİTAŞ YURDU,790,Fatih,10
EDİRNEKAPI KIZ ÖĞRENCİ YURDU,1248,Fatih,12.55
ESENYURT ERKEK ÖĞRENCİ YURDU,500,Esenyurt,4.27
FATİH SULTAN MEHMET ÖĞRENCİ YURDU,3240,Güngören,8.21
FLORYA-BESYO ÖĞRENCİ YURDU,1135,Küçükçekmece,7.79
KADIRGA ERKEK ÖĞRENCİ YURDU,723,Fatih,10
ŞİŞLİ ERKEK ÖĞRENCİ YURDU,298,Şişli,11
VEZNİCELER YURDU,1000,Fatih,13
İTİMYAEA ÖĞRENCİ YURDU,648,Sancaktepe,4.54
MAHİR İZ ÖĞRENCİ YURDU,500,Eyüpsultan,4.3
MİMAR SİNAN ÖĞRENCİ YURDU,440,Maltepe,18.3
BAHÇEKÖY YURDU,566,Sarıyer,4.23
KANUNİ SULTAN SÜLEYMAN YURDU,2492,Başakşehir,5
NAİL MUAMMER GÜLER YURDU,286,Ataşehir,6.08
1453 ÖĞRENCİ YURDU,658,Esenyurt,4.87
SADABAD ÖĞRENCİ YURDU,752,Kağıthane,11.3
ESENYURT KIZ ÖĞRENCİ YURDU,506,Esenyurt,4.27
