Yıl,Ay No,İlçe,Dogalgaz Tüketim Miktarı (m3)
2015,1,ADALAR,370333.756
2015,2,ADALAR,334257.446
2015,3,ADALAR,353314.028
2015,4,ADALAR,286268.529
2015,5,ADALAR,128612.845
2015,6,ADALAR,132890.116
2015,7,ADALAR,140175.257
2015,8,ADALAR,141850.211
2015,9,ADALAR,121669.701
2015,10,ADALAR,204708.722
2015,11,ADALAR,259002.768
2015,12,ADALAR,477230.174
2016,1,ADALAR,805857.928
2016,2,ADALAR,576996.975
2016,3,ADALAR,621461.701
2016,4,ADALAR,287910.089
2016,5,ADALAR,241786.626
2016,6,ADALAR,185729.759
2016,7,ADALAR,185850.381
2016,8,ADALAR,201465.636
2016,9,ADALAR,253205.307
2016,10,ADALAR,513851.252
2016,11,ADALAR,678463.524
2016,12,ADALAR,1066322.329
2017,1,ADALAR,1113949.582
2017,2,ADALAR,864688.766
2017,3,ADALAR,800142.804
2017,4,ADALAR,577863.734
2017,5,ADALAR,292876.441
2017,6,ADALAR,206099.726
2017,7,ADALAR,221998.825
2017,8,ADALAR,221723.929
2017,9,ADALAR,290574.004
2017,10,ADALAR,508554.177
2017,11,ADALAR,714772.113
2017,12,ADALAR,846583.178
2018,1,ADALAR,981215.608
2018,2,ADALAR,862570.433
2018,3,ADALAR,760362.378
2018,4,ADALAR,456645.894
2018,5,ADALAR,286405.667
2018,6,ADALAR,211766.01
2018,7,ADALAR,248798.771
2018,8,ADALAR,228394.038
2018,9,ADALAR,341789.498
2018,10,ADALAR,366209.477
2018,11,ADALAR,621510.688
2018,12,ADALAR,960829.468
2019,1,ADALAR,1106794.439
2019,2,ADALAR,958118.932
2019,3,ADALAR,864741.634
2019,4,ADALAR,703749.95
2019,5,ADALAR,292997.594
2019,6,ADALAR,194927.547
2019,7,ADALAR,246622.852
2019,8,ADALAR,224814.413
2019,9,ADALAR,250914.958
2019,10,ADALAR,300399.112
2019,11,ADALAR,401108.5
2019,12,ADALAR,842049.898
2020,1,ADALAR,1084920.571
2020,2,ADALAR,916603.414
2020,3,ADALAR,864653.002
2020,4,ADALAR,600321.325
2020,5,ADALAR,257899.182
2020,6,ADALAR,192661.751
2020,7,ADALAR,218474.204
2020,8,ADALAR,216290.004
2020,9,ADALAR,258271.948
2020,10,ADALAR,336469.774
2020,11,ADALAR,885030.59
2020,12,ADALAR,1101992.014
2021,1,ADALAR,1214773.233
2021,2,ADALAR,1077592.281
2021,3,ADALAR,1143236.085
2021,4,ADALAR,771061.199
2021,5,ADALAR,265184.844
2021,6,ADALAR,226689.056
2021,7,ADALAR,189341.584
2021,8,ADALAR,199969.534
2021,9,ADALAR,196770.01
2021,10,ADALAR,271633.523
2021,11,ADALAR,629023.059
2021,12,ADALAR,935910.846
2022,1,ADALAR,1177878.054
2022,2,ADALAR,1002661.921
2022,3,ADALAR,1246859.335
2022,4,ADALAR,601790.831
2022,5,ADALAR,365931.165
2022,6,ADALAR,211823.912
2022,7,ADALAR,223271.47
2022,8,ADALAR,225334.037
2022,9,ADALAR,215226.467
2022,10,ADALAR,312603.286
2022,11,ADALAR,493479.191
2022,12,ADALAR,797282.008
2023,1,ADALAR,917305.989
2023,2,ADALAR,1020407.709
2023,3,ADALAR,875885.106
2023,4,ADALAR,528818.51
2015,1,ARNAVUTKÖY,8006815.504
2015,2,ARNAVUTKÖY,6983336.107
2015,3,ARNAVUTKÖY,6784999.154
2015,4,ARNAVUTKÖY,4638464.344
2015,5,ARNAVUTKÖY,2057901.394
2015,6,ARNAVUTKÖY,1714983.375
2015,7,ARNAVUTKÖY,1593950.041
2015,8,ARNAVUTKÖY,1620388.65
2015,9,ARNAVUTKÖY,1657603.556
2015,10,ARNAVUTKÖY,2787998.718
2015,11,ARNAVUTKÖY,4194145.731
2015,12,ARNAVUTKÖY,7747044.149
2016,1,ARNAVUTKÖY,9248994.385
2016,2,ARNAVUTKÖY,6619479.803
2016,3,ARNAVUTKÖY,6351246.93
2016,4,ARNAVUTKÖY,2866956.145
2016,5,ARNAVUTKÖY,2352343.963
2016,6,ARNAVUTKÖY,1713254.603
2016,7,ARNAVUTKÖY,1482535.765
2016,8,ARNAVUTKÖY,5654767.495
2016,9,ARNAVUTKÖY,5647287.42
2016,10,ARNAVUTKÖY,8562345.191
2016,11,ARNAVUTKÖY,12359740.638
2016,12,ARNAVUTKÖY,17915985.585
2017,1,ARNAVUTKÖY,20134060.826
2017,2,ARNAVUTKÖY,16489198.707
2017,3,ARNAVUTKÖY,15393062.955
